Date,CADUSD=X,CCRV,CHFUSD=X,CTA,EURUSD=X,EWL,GSG,KMLM,LTPZ,QLTY,TFPN,TLT,UUP,VIXM,VIXY,VNQ,VPU,VT,VTI,VTIP,VWOB
2021-01-01,0.8097231388092041,,1.1134617328643799,,1.218026876449585,,,,,,,,,,,,,,,,
2021-01-04,0.7860337495803833,11.670424461364746,1.13237464427948,,1.2250697612762451,42.53961181640625,12.239999771118164,22.90377426147461,77.63956451416016,,,146.48887634277344,22.60494041442871,37.470001220703125,301.0,73.74264526367188,121.84718322753906,86.4456787109375,183.42218017578125,44.39640808105469,70.64669036865234
2021-01-05,0.7824113965034485,11.936721801757812,1.1347646713256836,,1.2251598834991455,42.850399017333984,12.670000076293945,23.36153793334961,77.20357513427734,,,145.4010009765625,22.4744930267334,37.09000015258789,289.6000061035156,73.850341796875,121.92904663085938,87.3941650390625,184.90396118164062,44.42246627807617,70.67253875732422
2021-01-06,0.788973331451416,11.958135604858398,1.1387187242507935,,1.230027437210083,42.662044525146484,12.6899995803833,23.2208194732666,76.19209289550781,,,142.41610717773438,22.4465389251709,36.790000915527344,287.79998779296875,73.9759750366211,125.06731414794922,88.01399230957031,186.56735229492188,44.431156158447266,70.24120330810547
2021-01-07,0.789552628993988,11.972412109375,1.1388614177703857,,1.2341108322143555,42.680877685546875,12.710000038146973,22.992372512817383,75.72122192382812,,,141.1608428955078,22.57698631286621,36.25,270.20001220703125,73.83238983154297,123.4936294555664,88.90615844726562,189.5595245361328,44.50933074951172,70.23257446289062
2021-01-08,0.7884072065353394,12.035553932189941,1.1297520399093628,,1.227144479751587,42.81272888183594,12.890000343322754,22.935914993286133,74.91902923583984,,,140.70516967773438,22.6142578125,36.22999954223633,267.6000061035156,74.55035400390625,124.38507843017578,89.71378326416016,190.47727966308594,44.46590805053711,70.24120330810547
2021-01-11,0.7854965925216675,11.868087768554688,1.1265828609466553,,1.2186205387115479,42.586708068847656,12.779999732971191,22.553720474243164,74.75334167480469,,,140.4727325439453,22.754024505615234,37.470001220703125,284.0,73.56317138671875,123.33900451660156,88.90615844726562,189.33966064453125,44.431156158447266,69.72358703613281
2021-01-12,0.7829995155334473,12.079479217529297,1.1240754127502441,,1.2160701751708984,42.81272888183594,13.029999732971191,23.124404907226562,75.05852508544922,,,140.3611297607422,22.63289451599121,37.130001068115234,274.3999938964844,73.73369598388672,122.89326477050781,89.24422454833984,190.0088348388672,44.431156158447266,69.44752502441406
2021-01-13,0.7869244813919067,12.033358573913574,1.1287955045700073,,1.2208894491195679,42.680877685546875,12.960000038146973,22.994110107421875,75.75609588623047,,,141.94195556640625,22.707435607910156,36.90999984741211,270.0,74.6311264038086,125.02183532714844,89.31937408447266,190.21914672851562,44.431156158447266,69.75811004638672
2021-01-14,0.7875193953514099,12.150857925415039,1.1275228261947632,,1.2162491083145142,42.6997184753418,13.109999656677246,23.407573699951172,75.46836853027344,,,140.6122283935547,22.660846710205078,37.5099983215332,273.3999938964844,75.07086181640625,124.4487533569336,89.4696273803711,190.03750610351562,44.483272552490234,69.49927520751953
2021-01-15,0.7906575798988342,12.04653549194336,1.1258091926574707,,1.2151259183883667,42.49252700805664,12.920000076293945,22.96631622314453,75.65145874023438,,,141.1701202392578,22.8099308013916,38.18000030517578,280.20001220703125,75.93241119384766,125.69497680664062,88.53990936279297,188.38369750976562,44.50064468383789,69.60277557373047
2021-01-18,0.7834105491638184,,1.1208499670028687,,1.2068113088607788,,,,,,,,,,,,,,,,
2021-01-19,0.784436821937561,12.084970474243164,1.1224603652954102,,1.207729458808899,42.65262985229492,12.960000038146973,23.184337615966797,76.1397705078125,,,141.62576293945312,22.744707107543945,37.97999954223633,272.3999938964844,75.71703338623047,125.10369873046875,89.30996704101562,190.10446166992188,44.54408264160156,69.63731384277344
2021-01-20,0.785996675491333,12.057517051696777,1.1261261701583862,,1.2138868570327759,42.88806915283203,12.989999771118164,23.203447341918945,76.31414794921875,,,141.7652587890625,22.735389709472656,37.91999816894531,266.79998779296875,77.16191864013672,125.80414581298828,90.38996124267578,192.50390625,44.596195220947266,69.7667236328125
2021-01-21,0.7920165061950684,12.057517051696777,1.1245051622390747,,1.2115631103515625,43.04817199707031,12.960000038146973,23.31202507019043,76.60191345214844,,,140.770263671875,22.63289451599121,38.2400016784668,264.6000061035156,76.7939453125,124.91268920898438,90.41814422607422,192.36053466796875,44.63094711303711,69.80123901367188
2021-01-22,0.7907201051712036,11.876324653625488,1.1294840574264526,,1.2166293859481812,43.02933120727539,12.770000457763672,22.95762825012207,76.35774993896484,,,141.22593688964844,22.679481506347656,38.47999954223633,268.3999938964844,76.97343444824219,125.03092956542969,89.99553680419922,192.0450439453125,44.604881286621094,69.79261016845703
2021-01-25,0.7859843373298645,11.939467430114746,1.1295312643051147,,1.216944694519043,43.010498046875,12.9399995803833,23.025381088256836,76.7676010131836,,,142.89035034179688,22.707435607910156,39.790000915527344,279.20001220703125,77.55677795410156,127.30504608154297,90.19275665283203,192.5899658203125,44.604881286621094,70.0255355834961
2021-01-26,0.7850834727287292,11.986137390136719,1.126100778579712,,1.214624047279358,43.123512268066406,12.989999771118164,23.283361434936523,76.39263916015625,,,142.6207275390625,22.642210006713867,39.33000183105469,274.6000061035156,78.10421752929688,125.92239379882812,89.92980194091797,191.89212036132812,44.61357116699219,70.00828552246094
